fips,hpi2015,hpi2016,hpi2017,hpi2018,hpi2019,hpi2020,hpi2021,pop_2020,state,county,deaths,mortality_rate
48021,158.3414285714286,171.3557142857143,184.6857142857143,196.1535714285714,207.4657142857143,216.7271428571428,255.5792857142858,98046,Texas,Bastrop,5316,54.219448
48023,136.07,139.21,143.85,150.78,159.03,166.57,189.99,3461,Texas,Baylor,362,104.59405
48025,167.8184615384615,175.8692307692307,183.6115384615385,193.4592307692308,204.3838461538462,211.4407692307692,235.2992307692308,31049,Texas,Bee,5000,161.03578
48027,137.4935483870967,145.2180645161291,152.8361290322581,162.2174193548386,172.816129032258,180.4322580645162,208.163870967742,372229,Texas,Bell,15298,41.098354
48029,166.5826923076926,177.8588461538459,189.7349999999999,200.5530769230768,211.5117307692311,219.3755769230769,245.0498076923072,2015369,Texas,Bexar,212995,105.68536
48031,156.288,168.428,181.294,191.802,203.902,213.226,253.49,11450,Texas,Blanco,932,81.397377
48033,190.3525,194.175,200.36,210.5075,224.25875,231.58,248.38875,641,Texas,Borden,0,0
48035,151.5808333333333,161.0675,171.6616666666667,183.4933333333333,193.4316666666666,202.8341666666667,230.2266666666667,18245,Texas,Bosque,1465,80.295975
48037,142.29,146.8699999999999,149.23,154.22,159.95,167.28,184.46,92924,Texas,Bowie,14064,151.34949
48039,158.0680769230769,168.7142307692307,178.4469230769231,189.4634615384616,197.7826923076924,204.49,225.3907692307693,373481,Texas,Brazoria,27891,74.678497
48041,164.65,177.4499999999999,186.1300000000001,195.42,203.56,208.6300000000001,227.0300000000001,234486,Texas,Brazos,14928,63.662651
48043,160.49,166.37,172.11,179.85,189.61,198.23,212.66,9553,Texas,Brewster,675,70.658432
48045,160.03,162.76,166.72,172.87,176.03,181.85,197.7,1419,Texas,Briscoe,196,138.12544
48047,171.83,179.38,183.93,192.54,202.93,209.5,229.45,7057,Texas,Brooks,3116,441.54739
48049,165.2492857142857,170.3428571428571,178.4671428571429,186.8785714285714,196.8107142857143,203.4714285714285,227.6971428571429,38048,Texas,Brown,6417,168.65538
48051,157.73,169.245,177.635,186.9275,195.6875,201.3725,222.1075,17680,Texas,Burleson,1173,66.346153
48053,150.7123076923077,162.6230769230769,174.1653846153846,184.5730769230769,196.8615384615385,206.1638461538461,246.0053846153847,49473,Texas,Burnet,2449,49.501747
48055,157.4285714285714,170.9142857142857,184.2442857142857,195.3714285714285,207.7142857142858,217.4728571428571,260.1457142857143,45949,Texas,Caldwell,5690,123.83295
48057,170.7116666666667,174.8633333333333,178.2916666666667,185.06,191.8033333333334,198.62,214.955,20063,Texas,Calhoun,1544,76.957581
48059,165.6577777777778,171.2944444444445,178.8933333333333,188.0911111111111,198.0533333333334,205.1777777777778,228.0511111111111,13744,Texas,Callahan,1026,74.650757
48061,134.76,137.82,142.8899999999999,147.42,153.67,160.33,176.8000000000001,421445,Texas,Cameron,150490,357.08099
48063,149.86,156.57,163.15,174.195,181.725,189,211.32,12427,Texas,Camp,1958,157.56015
48065,157.7257142857143,160.7028571428571,164.7585714285714,170.5371428571429,173.89,179.3742857142857,195.5685714285714,5791,Texas,Carson,205,35.399757
48067,146.73,150.526,152.2753333333334,157.924,163.8326666666667,170.9386666666666,188.6386666666667,28436,Texas,Cass,3741,131.55859
48069,160.3872727272727,163.6027272727273,167.52,173.770909090909,177.2845454545455,183.3418181818181,199.3409090909091,7336,Texas,Castro,1132,154.30753
48071,155.226,165.556,175.378,187.458,196.166,203.522,224.634,47025,Texas,Chambers,2761,58.713451
48073,146.0225,151.365,157.135,165.5275,172.8575,180.4075,201.885,50488,Texas,Cherokee,5732,113.53193
48075,160.03,162.76,166.72,172.87,176.03,181.85,197.7,6662,Texas,Childress,137,20.564396
48077,138.6827272727272,144.3727272727273,151.7781818181818,160.4809090909091,169.0527272727273,176.3145454545454,200.4954545454545,10250,Texas,Clay,537,52.390244
48079,163.96,172.03,175.52,182.78,189.83,198.26,215.75,2557,Texas,Cochran,369,144.30974
48081,182.8914285714286,187.0414285714286,193.1085714285714,199.9371428571428,211.6185714285714,221.2385714285714,246.0885714285714,3295,Texas,Coke,855,259.48407
48083,169.9515384615385,174.2115384615384,181.42,187.6107692307692,198.2792307692307,204.9846153846153,228.4046153846154,7686,Texas,Coleman,741,96.409058
48085,146.7689130434782,161.3078260869567,177.216304347826,189.4828260869564,196.7989130434781,202.4202173913043,229.6260869565217,1075654,Texas,Collin,32689,30.389883
48087,160.03,162.76,166.72,172.87,176.03,181.85,197.7,2638,Texas,Collingsworth,112,42.456406
48089,162.2377777777778,172.3705555555555,182.0027777777778,191.5633333333333,199.1388888888888,205.5583333333333,227.5183333333334,20558,Texas,Colorado,778,37.844147
48091,162.366875,171.925625,182.558125,192.94125,204.225,212.1281249999999,242.025,163640,Texas,Comal,19144,116.98851
48093,160.9642857142857,167.1828571428571,176.0971428571429,188.1085714285715,197.8057142857143,205.0414285714285,230.1571428571429,13628,Texas,Comanche,1132,83.064278
48095,173.3336363636363,177.6181818181818,184.7200000000001,190.9854545454546,201.5463636363636,208.9963636363636,233.14,3303,Texas,Concho,266,80.532852
48097,145.65,158.1399999999999,172.92,186.3499999999999,195.7800000000001,202.3,228.5100000000001,41744,Texas,Cooke,1499,35.909351
48099,140.216,148.2760000000001,156.4040000000001,166.2079999999999,176.696,184.76,212.448,83146,Texas,Coryell,2346,28.215427
48101,,,,,,,,1364,Texas,Cottle,568,416.4223
48103,248.05,246.12,257.36,279.62,304.97,309.85,317.46,4673,Texas,Crane,1081,231.3289
48105,186.73,191,196.88,204.28,216.07,226.72,252.34,3094,Texas,Crockett,1011,326.76147
48107,163.96,172.03,175.52,182.78,189.83,198.26,215.75,5093,Texas,Crosby,1275,250.34361
48109,160.49,166.37,172.11,179.85,189.61,198.23,212.66,2185,Texas,Culberson,394,180.32037
48111,160.03,162.76,166.72,172.87,176.03,181.85,197.7,7126,Texas,Dallam,1664,233.51109
