zip,year,hpi
016,2002,127.11
016,2003,139.32
016,2004,156.93
016,2005,172.09
016,2006,173.97
016,2007,166.24
016,2008,152.76
016,2009,140.34
016,2010,136.4
016,2011,128.53
016,2012,124.94
016,2013,127.01
016,2014,131.13
016,2015,136.69
016,2016,142.2
016,2017,152.52
016,2018,163.62
016,2019,173.62
016,2020,184.65
016,2021,211.14
016,2022,238.81
017,1975,16.93
017,1976,16.96
017,1977,18.19
017,1978,20.52
017,1979,25.08
017,1980,27.71
017,1981,32.31
017,1982,33.57
017,1983,35.76
017,1984,44.84
017,1985,54.05
017,1986,63.26
017,1987,69.01000000000001
017,1988,72.52
017,1989,72.14
017,1990,68.12
017,1991,64.43000000000001
017,1992,64.17
017,1993,64.45999999999999
017,1994,66.03
017,1995,68.09999999999999
017,1996,70.14
017,1997,73.97
017,1998,78.31
017,1999,85.22
017,2000,100
017,2001,110.9
017,2002,120.27
017,2003,126.73
017,2004,136.7
017,2005,150.06
017,2006,149.27
017,2007,144.39
017,2008,138.55
017,2009,131.82
017,2010,129.68
017,2011,127.77
017,2012,126.77
017,2013,129.95
017,2014,137.66
017,2015,141.73
017,2016,147.78
017,2017,155.56
017,2018,162.93
017,2019,168.08
017,2020,172.32
017,2021,189.38
017,2022,215.84
018,1975,17.43
018,1976,18.05
018,1977,19.46
018,1978,21.7
018,1979,25.28
018,1980,27.54
018,1981,32.05
018,1982,33.8
018,1983,35.92
018,1984,44.19
018,1985,53.99
018,1986,63.73
018,1987,70.14
018,1988,73.31
018,1989,72.98
018,1990,69.86
018,1991,65.33
018,1992,64.72
018,1993,64.61
018,1994,65.11
018,1995,66.79000000000001
018,1996,69.41
018,1997,73
018,1998,78.17
018,1999,85.31
018,2000,100
018,2001,111.16
018,2002,122.66
018,2003,130.36
018,2004,142.07
018,2005,154.85
018,2006,154.91
018,2007,149.07
018,2008,142.73
018,2009,135
018,2010,133.26
018,2011,130.77
018,2012,129.5
018,2013,132.78
018,2014,141.24
018,2015,146.43
018,2016,154.11
018,2017,164.24
018,2018,172.6
018,2019,180.1
018,2020,185.64
018,2021,205.61
018,2022,232.86
019,1975,18.62
019,1976,19.97
019,1977,18.36
019,1978,20.28
019,1979,23.78
019,1980,26.64
019,1981,31.02
019,1982,33.16
019,1983,35.14
019,1984,43.09
019,1985,52.72
019,1986,62.74
019,1987,69.59
019,1988,72.59
019,1989,72.42
019,1990,68.98999999999999
019,1991,64.90000000000001
019,1992,63.88
019,1993,63.73
019,1994,64.31
019,1995,66.3
019,1996,69.01000000000001
019,1997,72.69
019,1998,77.59999999999999
019,1999,84.91
019,2000,100
019,2001,111.01
019,2002,122.65
019,2003,131.21
019,2004,143.12
019,2005,155.05
019,2006,155.05
019,2007,149.96
019,2008,142.73
019,2009,134.31
019,2010,131.03
019,2011,128.47
019,2012,127.29
019,2013,130.83
019,2014,138.61
019,2015,144.14
019,2016,152.3
019,2017,163
019,2018,172.62
019,2019,180.64
019,2020,186.59
019,2021,206.59
019,2022,232.5
020,1975,16.92
020,1976,18.34
020,1977,18.58
020,1978,20.36
020,1979,23.44
020,1980,26.22
020,1981,31.45
020,1982,32.41
020,1983,34.66
020,1984,41.83
020,1985,51.11
020,1986,60.35
020,1987,67.59
020,1988,70.98999999999999
020,1989,71.15000000000001
020,1990,68.04000000000001
020,1991,64.31
020,1992,63.99
020,1993,64.38
020,1994,65.7
020,1995,68.28
020,1996,70.43000000000001
020,1997,73.52
020,1998,78.08
020,1999,85.25
020,2000,100
020,2001,110.99
020,2002,122.57
020,2003,131.7
020,2004,144.8
020,2005,158.14
020,2006,157.82
020,2007,153.32
020,2008,148.26
020,2009,140.57
020,2010,138.27
020,2011,136.27
020,2012,135.31
020,2013,138.09
020,2014,146.07
020,2015,150.92
020,2016,157.93
020,2017,165.31
020,2018,172.94
020,2019,179.01
020,2020,183.83
020,2021,202.16
020,2022,227.08
021,1975,16.19
021,1976,17.49
021,1977,17.6
021,1978,19.2
021,1979,21.32
021,1980,24.84
021,1981,29.81
021,1982,30.95
021,1983,33.36
021,1984,40.8
021,1985,49.96
021,1986,59.06
021,1987,65.75
021,1988,69.36
021,1989,70.17
021,1990,67.92
021,1991,63.92
021,1992,62.73
021,1993,61.88
021,1994,61.66
021,1995,62.47
021,1996,65.14
021,1997,69.14
021,1998,74.95999999999999
021,1999,83.42
021,2000,100
021,2001,111.6
021,2002,124.65
021,2003,134.41
021,2004,148.44
021,2005,161.42
021,2006,161.04
021,2007,156.28
021,2008,149.58
021,2009,141.44
021,2010,140.53
021,2011,138.06
021,2012,138.6
021,2013,144.77
021,2014,157.57
021,2015,165.9
021,2016,179.31
021,2017,193.7
021,2018,207.15
021,2019,217.23
021,2020,223.81
021,2021,242.43
021,2022,268.84
023,1975,18.34
023,1976,21.37
023,1977,22.04
023,1978,22.6
023,1979,24.82
023,1980,28.25
023,1981,32.34
023,1982,34.55
023,1983,37.2
023,1984,44.82
023,1985,54.35
023,1986,64.84
023,1987,73.91
023,1988,78.31
023,1989,78.75
023,1990,75.39
023,1991,69.73999999999999
023,1992,67.68000000000001
023,1993,66.68000000000001
023,1994,66.29000000000001
023,1995,67.77
023,1996,70.63
023,1997,73.48999999999999
023,1998,78.2
023,1999,85.51000000000001
023,2000,100
023,2001,112.28
023,2002,127.49
023,2003,140.54
023,2004,157.17
023,2005,171.65
023,2006,173.08
023,2007,164.62
023,2008,154.1
023,2009,142.57
023,2010,137.73
023,2011,133.21
023,2012,130.82
023,2013,132.66
023,2014,139.62
023,2015,145.43
023,2016,153.61
023,2017,163.59
023,2018,173.17
023,2019,179.81
023,2020,186.32
023,2021,210.37
023,2022,238.1
024,1975,14.05
024,1976,14.51
024,1977,14.56
024,1978,16.62
024,1979,19.79
024,1980,22.08
024,1981,26.09
024,1982,27.28
024,1983,29.22
024,1984,36.7
024,1985,44.05
024,1986,51.48
024,1987,56.61
024,1988,60.63
024,1989,60.72
024,1990,58.47
024,1991,55.97
024,1992,56.67
024,1993,57.96
024,1994,59.88
024,1995,63.55
024,1996,65.78
024,1997,70.81999999999999
024,1998,76.08
024,1999,83.28
024,2000,100
024,2001,109.66
024,2002,118.1
024,2003,124.01
024,2004,132.64
024,2005,145.16
024,2006,143.9
024,2007,143.14
024,2008,142.37
024,2009,140.13
024,2010,140.26
024,2011,140
024,2012,141.6
024,2013,147.21
024,2014,161.6
024,2015,169.17
024,2016,180.45
024,2017,190.73
024,2018,202.33
024,2019,209.5
024,2020,208.72
024,2021,218.35
024,2022,237.84
025,1978,26.57
025,1979,25.25
025,1980,29.82
025,1981,31.56
025,1982,34.13
025,1983,37.29
025,1984,42.73
025,1985,49.53
025,1986,61.68
025,1987,70.06
025,1988,75.01000000000001
025,1989,75.47
025,1990,72.3
025,1991,66.78
025,1992,65.48999999999999
025,1993,64.23999999999999
025,1994,63.63
025,1995,66.53
025,1996,68.01000000000001
025,1997,70.56
025,1998,75.77
025,1999,82.81999999999999
025,2000,100
025,2001,113.11
025,2002,127.31
025,2003,140.52
025,2004,161.82
025,2005,182.2
025,2006,185.97
025,2007,180.26
025,2008,170.75
025,2009,160.7
025,2010,153.72
025,2011,149.95
025,2012,148.56
025,2013,148.98
025,2014,153.54
025,2015,159.32
025,2016,165.47
025,2017,175.75
025,2018,185.45
025,2019,193.89
025,2020,202.49
025,2021,229.75
025,2022,270.56
026,1977,20.86
026,1978,22.84
026,1979,27.11
026,1980,28.95
026,1981,32.86
026,1982,36.34
026,1983,38.38
026,1984,45.11
026,1985,53.54
026,1986,65.87
026,1987,74.72
026,1988,77.11
026,1989,75.98999999999999
026,1990,72.51000000000001
026,1991,66.76000000000001
026,1992,66.08
026,1993,64.79000000000001
026,1994,64.13
026,1995,65.53
026,1996,67.64
026,1997,70.89
026,1998,74.87
026,1999,83.38
026,2000,100
026,2001,114.84
026,2002,130.61
026,2003,145.38
026,2004,167.18
026,2005,185.37
026,2006,190.02
026,2007,183.48
026,2008,172.17
026,2009,163.6
026,2010,157.69
026,2011,153.68
026,2012,153.36
026,2013,154.18
026,2014,158.89
026,2015,164.78
026,2016,170.74
026,2017,178.81
026,2018,188.9
026,2019,196.46
026,2020,204.05
026,2021,233.25
026,2022,274.03
027,1975,20.83
027,1976,20.4
027,1977,20.9
027,1978,23.78
027,1979,26.74
027,1980,30.18
027,1981,31.95
027,1982,34.19
027,1983,36.6
027,1984,42.88
027,1985,51.51
027,1986,62.8
027,1987,74.87
027,1988,81.48
027,1989,82.98999999999999
027,1990,80.56
027,1991,75.48999999999999
027,1992,74.51000000000001
027,1993,73.75
027,1994,73.73
027,1995,74.58
027,1996,76.73999999999999
027,1997,78.81999999999999
027,1998,82.11
027,1999,87.38
027,2000,100
027,2001,111.87
027,2002,126.96
027,2003,140.72
027,2004,161.39
027,2005,178.57
027,2006,182.29
027,2007,174.78
